specimen_id,species,length_mm,width_mm,color,shape,decoration_bottom,decoration_top,staining,annulus,universal_veil,context_type,context_color,context_stain
30283,Amanita flavorubens,60,18,yellow,narrowing upward,fibrillose,minutely scabrous,brown red,present,absent,,,no
30284,Amanita suballiacea,80,10,light brown,narrowing upward,scabrous,scabrous,not apparent,present,present,,,no
30285,Amanita fusca,80,10,grey,narrowing upward,minutely fibrillose,smooth,not apparent,absent,present,,,no
30286,Amanita porphyria,60,7,light brown,narrowing upward,streaking,smooth,not apparent,present,present,,,no
30287,Amanita cf. lavendula,90,10,white,narrowing upward,smooth,smooth,not apparent,present,absent,,,no
30291,Amanita cf. lavendula,60,5, dingy white,cylindrical,scabrous,minutely scabrous,not apparent,present,present,,,no
30293,Amanita porphyria,95,10,light brown,narrowing upward,scabrous,smooth,not apparent,present,absent,,,no
40220,Amanita cf. lavendula,85,10,light brown white,cylindrical,minutely fibrillose,smooth,not apparent,present,present,,,no
30187_2,Amanita suballiacea,112,11,white,cylindrical,majorly floccose peeling,,not apparent,present,present,solid,white to light yellow at edge,no
30187_3,Amanita suballiacea,190,17,white,cylindrical,majorly floccose,,not apparent,present,present,,,no
30193_2,Amanita confundens,90,6,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30193_3,Amanita confundens,85,7,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30194_2,Amanita aff. fulva,75,5,white,narrowing upward,smooth,,not apparent,absent,present,,,no
30199_2,Amanita bisporigera,105,9, dingy white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no
30199_3,Amanita bisporigera,85,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,stuffed,white,no
30199_4,Amanita bisporigera,50,9,white,cylindrical,flocculose,smooth,not apparent,present,present,stuffed,white,no
30204_2,Amanita amerivirosa,105,9,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30204_3,Amanita amerivirosa,100,11,white,narrowing upward,smooth,floccose,not apparent,present,absent,stuffed,white,no
30204_4,Amanita amerivirosa,80,10,white,cylindrical,smooth,floccose,not apparent,present,absent,stuffed,white,no
30208_2,Amanita cf. lavendula,60,8,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30223_2,Amanita multisquamosa,72,9,white,narrowing upward,flocculose,smooth,not apparent,present,present,,,no
30223_3,Amanita multisquamosa,75,8,white,narrowing upward,flocculose,smooth,not apparent,present,present,,,no
30224_2,Amanita multisquamosa,105,9,white,narrowing upward,fibrillose,smooth,not apparent,present,present,,,no
30226_2,Amanita stranella,,,white,narrowing upward,smooth,smooth,not apparent,absent,present,,,no
30230_2,Amanita amerirubescens nom prov.,108,12,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_3,Amanita amerirubescens nom prov.,135,13,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_4,Amanita amerirubescens nom prov.,180,15,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_5,Amanita amerirubescens nom prov.,125,17,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_6,Amanita amerirubescens nom prov.,137,20,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_7,Amanita amerirubescens nom prov.,40,5,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30230_8,Amanita amerirubescens nom prov.,95,13,light pink,narrowing upward,fibrillose,smooth,brown red,present,absent,,,no
30239_2,Amanita virginiana,45,5,white,cylindrical,smooth,smooth,not apparent,present,present,,,no
30249_2,Amanita stranella,40,5,white,cylindrical,minutely scabrous,smooth,not apparent,absent,present,,,no
30250_2,Amanita coryli,50,8,light brown white,cylindrical,smooth,smooth,not apparent,absent,present,,,no
30257_2,Amanita confundens,100,10,white,narrowing upward,smooth,smooth,not apparent,absent,present,hollow,white,no
30274_2,Amanita sp. 'GWA-ami2',60,10,white,cylindrical,smooth,smooth,brown,,present,stuffed,white,brown
30280_2,Amanita populiphila,90,15,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30280_3,Amanita populiphila,75,10,white,narrowing upward,fibrillose,smooth,not apparent,absent,present,,,no
30280_4,Amanita populiphila,70,7,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_5,Amanita populiphila,60,10,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_6,Amanita populiphila,70,14,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
30280_7,Amanita populiphila,75,15,white,narrowing upward,floccose,smooth,not apparent,absent,present,,,no
